x,E,N,z
13.05758294,255228.9934,4208523.582,3752.990967
13.08904699,255228.9659,4208523.598,3752.990967
13.12051105,255228.9385,4208523.613,3752.991211
13.1519751,255228.9111,4208523.629,3752.991211
13.18343916,255228.8837,4208523.644,3752.991943
13.21490322,255228.8562,4208523.659,3752.992432
13.24636727,255228.8288,4208523.675,3752.994385
13.27783133,255228.8014,4208523.69,3752.99707
13.30929538,255228.774,4208523.706,3753.000488
13.34075944,255228.7466,4208523.721,3753.004395
13.37222349,255228.7191,4208523.736,3753.008789
13.40368755,255228.6917,4208523.752,3753.013184
13.4351516,255228.6643,4208523.767,3753.017578
13.46661566,255228.6369,4208523.783,3753.020996
13.49807971,255228.6094,4208523.798,3753.024902
13.52954377,255228.582,4208523.814,3753.028809
13.56100782,255228.5546,4208523.829,3753.032715
13.59247188,255228.5272,4208523.844,3753.0354
13.62393593,255228.4997,4208523.86,3753.03833
13.65539999,255228.4723,4208523.875,3753.041504
13.68686404,255228.4449,4208523.891,3753.043701
13.7183281,255228.4175,4208523.906,3753.046631
13.74979215,255228.3901,4208523.922,3753.048096
13.78125621,255228.3626,4208523.937,3753.050781
13.81272027,255228.3352,4208523.952,3753.052246
13.84418432,255228.3078,4208523.968,3753.054443
13.87564838,255228.2804,4208523.983,3753.055908
13.90711243,255228.2529,4208523.999,3753.057373
13.93857649,255228.2255,4208524.014,3753.058838
13.97004054,255228.1981,4208524.03,3753.060547
14.0015046,255228.1707,4208524.045,3753.062256
14.03296865,255228.1432,4208524.06,3753.063965
14.06443271,255228.1158,4208524.076,3753.066406
14.09589676,255228.0884,4208524.091,3753.068848
14.12736082,255228.061,4208524.107,3753.071045
14.15882487,255228.0335,4208524.122,3753.073242
14.19028893,255228.0061,4208524.138,3753.075684
14.22175298,255227.9787,4208524.153,3753.077881
14.25321704,255227.9513,4208524.168,3753.080322
14.28468109,255227.9239,4208524.184,3753.08252
14.31614515,255227.8964,4208524.199,3753.085205
14.34760921,255227.869,4208524.215,3753.088135
14.37907326,255227.8416,4208524.23,3753.090576
14.41053732,255227.8142,4208524.246,3753.093018
14.44200137,255227.7867,4208524.261,3753.095215
14.47346543,255227.7593,4208524.276,3753.096924
14.50492948,255227.7319,4208524.292,3753.098389
14.53639354,255227.7045,4208524.307,3753.099365
14.56785759,255227.677,4208524.323,3753.099609
14.59932165,255227.6496,4208524.338,3753.099854
14.6307857,255227.6222,4208524.354,3753.099854
14.66224976,255227.5948,4208524.369,3753.100098
14.69371381,255227.5674,4208524.384,3753.100098
14.72517787,255227.5399,4208524.4,3753.100098
14.75664192,255227.5125,4208524.415,3753.100098
14.78810598,255227.4851,4208524.431,3753.100098
14.81957003,255227.4577,4208524.446,3753.100098
14.85103409,255227.4302,4208524.461,3753.099854
14.88249814,255227.4028,4208524.477,3753.099854
14.9139622,255227.3754,4208524.492,3753.099609
14.94733536,255227.348,4208524.511,3753.099365
14.98070851,255227.3206,4208524.53,3753.098389
15.01408167,255227.2932,4208524.549,3753.096436
15.04745482,255227.2658,4208524.569,3753.094482
15.08082798,255227.2384,4208524.588,3753.092285
15.11420114,255227.211,4208524.607,3753.0896
15.14757429,255227.1835,4208524.626,3753.087158
15.18094745,255227.1561,4208524.645,3753.084961
15.2143206,255227.1287,4208524.664,3753.082275
15.24769376,255227.1013,4208524.683,3753.07959
15.28106692,255227.0739,4208524.702,3753.076904
15.31444007,255227.0465,4208524.721,3753.07373
15.34781323,255227.0191,4208524.74,3753.069824
15.38118638,255226.9917,4208524.759,3753.065918
15.41455954,255226.9643,4208524.778,3753.061768
15.4479327,255226.9369,4208524.797,3753.057617
15.48130585,255226.9095,4208524.816,3753.05249
15.51467901,255226.8821,4208524.835,3753.047852
15.54805216,255226.8547,4208524.854,3753.043701
15.58142532,255226.8273,4208524.873,3753.040283
15.61479848,255226.7999,4208524.892,3753.035889
15.64817163,255226.7725,4208524.911,3753.032715
15.68154479,255226.7451,4208524.93,3753.029541
15.71491794,255226.7177,4208524.949,3753.025635
15.7482911,255226.6902,4208524.968,3753.022217
15.78166426,255226.6628,4208524.987,3753.019043
15.81503741,255226.6354,4208525.007,3753.015869
15.84841057,255226.608,4208525.026,3753.013428
15.88178372,255226.5806,4208525.045,3753.01123
15.91515688,255226.5532,4208525.064,3753.009277
15.94853004,255226.5258,4208525.083,3753.006348
15.98190319,255226.4984,4208525.102,3753.00293
16.01527635,255226.471,4208525.121,3752.998291
16.0486495,255226.4436,4208525.14,3752.994629
16.08202266,255226.4162,4208525.159,3752.990234
16.11539582,255226.3888,4208525.178,3752.986816
16.14876897,255226.3614,4208525.197,3752.984375
16.18214213,255226.334,4208525.216,3752.982178
16.21551528,255226.3066,4208525.235,3752.980713
16.24888844,255226.2792,4208525.254,3752.979248
16.2822616,255226.2518,4208525.273,3752.978516
16.31563475,255226.2244,4208525.292,3752.978027
16.34900791,255226.1969,4208525.311,3752.977783
16.38238106,255226.1695,4208525.33,3752.977051
16.41575422,255226.1421,4208525.349,3752.977051
16.44912738,255226.1147,4208525.368,3752.977539
16.48250053,255226.0873,4208525.387,3752.977783
16.51587369,255226.0599,4208525.406,3752.979736
16.54924684,255226.0325,4208525.426,3752.982178
16.58262,255226.0051,4208525.445,3752.982666
16.61599315,255225.9777,4208525.464,3752.985107
16.64936631,255225.9503,4208525.483,3752.986572
16.68273947,255225.9229,4208525.502,3752.988281
16.71611262,255225.8955,4208525.521,3752.98877
16.74948578,255225.8681,4208525.54,3752.98999
16.78285893,255225.8407,4208525.559,3752.991699
16.81623209,255225.8133,4208525.578,3752.992432
16.84960525,255225.7859,4208525.597,3752.994141
16.8829784,255225.7585,4208525.616,3752.996338
16.91635156,255225.731,4208525.635,3752.99707
16.94972471,255225.7036,4208525.654,3753
16.98309787,255225.6762,4208525.673,3753.00293
17.01647103,255225.6488,4208525.692,3753.00415
17.04984418,255225.6214,4208525.711,3753.007813
17.08321734,255225.594,4208525.73,3753.011475
17.11659049,255225.5666,4208525.749,3753.016113
17.14996365,255225.5392,4208525.768,3753.017578
17.18333681,255225.5118,4208525.787,3753.021729
17.21670996,255225.4844,4208525.806,3753.025879
17.25008312,255225.457,4208525.825,3753.028076
