x,E,N,z,base_h,base_z
7.47,255019.7747,4208457.108,3783.006836,36.8560035,3746.150833
7.5,255019.7472,4208457.097,3783.015869,36.84675512,3746.169114
7.53,255019.7198,4208457.085,3783.019775,36.83750675,3746.182268
7.56,255019.6923,4208457.074,3783.028564,36.82825838,3746.200306
7.59,255019.6649,4208457.062,3783.031738,36.81901001,3746.212728
7.62,255019.6374,4208457.051,3783.0354,36.80976164,3746.225638
7.65,255019.61,4208457.039,3783.044434,36.80051327,3746.243921
7.68,255019.5825,4208457.027,3783.048096,36.7912649,3746.256831
7.71,255019.5551,4208457.016,3783.057129,36.78201653,3746.275112
7.74,255019.5276,4208457.004,3783.060303,36.77276816,3746.287535
7.77,255019.5002,4208456.993,3783.070557,36.76351978,3746.307037
7.79,255019.4727,4208456.981,3783.074951,36.7573542,3746.317597
7.82,255019.4452,4208456.97,3783.079346,36.74810583,3746.33124
7.85,255019.4178,4208456.958,3783.089844,36.73885746,3746.350987
7.88,255019.3903,4208456.947,3783.093994,36.72960909,3746.364385
7.91,255019.3629,4208456.935,3783.104736,36.72036072,3746.384375
7.94,255019.3354,4208456.923,3783.110107,36.71111235,3746.398995
7.97,255019.308,4208456.912,3783.114502,36.70186398,3746.412638
8,255019.2805,4208456.9,3783.123291,36.6926156,3746.430675
8.03,255019.2531,4208456.889,3783.127686,36.68336723,3746.444319
8.06,255019.2256,4208456.877,3783.13623,36.67411886,3746.462111
8.09,255019.1982,4208456.866,3783.139648,36.66487049,3746.474778
8.12,255019.1707,4208456.854,3783.147949,36.65562212,3746.492327
8.15,255019.1433,4208456.843,3783.151855,36.64637375,3746.505481
8.18,255019.1158,4208456.831,3783.155762,36.63712538,3746.518637
8.21,255019.0884,4208456.819,3783.162598,36.62787701,3746.534721
8.24,255019.0609,4208456.808,3783.165771,36.61862863,3746.547142
8.27,255019.0335,4208456.796,3783.171875,36.60938026,3746.562495
8.3,255019.006,4208456.785,3783.174316,36.60013189,3746.574184
